Load [ft.lb],Engine speed [rpm],mf [mg/stroke],Pr [PSI],NOx [ppm],High NOx
50,2502.4,31.22232558,15285.16744,103.899724,0
50,2248.666667,30.11666667,15155.13333,112.6101815,0
75,2502,38.3,15356,114.789893,0
100,2504,42.9,15296,125.4119705,0
75,2262,34.1,15254,126.524679,0
50,2000.420168,27.4,15355.21849,136.9856516,0
125,2499,50.6,14915,138.6276905,0
75,2009,31.1,15049,138.7106088,0
100,2258,39.1,15363,138.8895483,0
50,1755.725843,25.52337079,14917.18652,143.1616313,0
125,2257.366248,46.00251346,14484.92639,146.2978652,0
150,2259,53.9,13361,150.0904921,0
50,1750.025641,25.63846154,14953.17949,151.8732346,0
150,2500.427861,57.66965174,14568.50746,154.8129964,0
175,2258,62.9,12767,157.4573235,0
100,2006.152047,35.78654971,14880.44444,161.5645104,0
200,2255,72,12921,170.0361767,0
50,1549.501134,24.60861678,14303.37188,172.7510461,0
75,1766.545151,30.67558528,15236.34448,173.1984689,0
125,2012.208333,42.00347222,14545.61111,174.9227109,0
175,2498,64.1,14627,179.999972,0
175,2012,55.9,12763,182.6833945,0
200,2015,64.1,12306,183.027324,0
150,2014,47.6,13816,183.5394206,0
225,2000,72.9,12161,189.7490814,0
75,1516.584706,29.03682353,13961.92588,191.014261,0
100,1757.31829,34.76516231,15233.32067,194.8124294,0
225,2258,75.8,13534,198.8345946,0
100,1756,34.9,15194,206.6416975,1
200,2500,68.3,14759,210.177401,1
250,1999.056995,78.72849741,12552.87565,212.8441911,1
75,1492,28.4,13795,217.6398508,1
150,1757.712538,44.88960245,13760.21407,229.389545,1
125,1756.092199,40.11914894,15119.65248,230.3217731,1
200,1755.99917,58.23560166,12160.49959,230.6556918,1
225,1756,67.5,11717,235.1534352,1
250,1756.648649,74.67077703,11497.24493,235.499842,1
275,1998,84.2,13133,236.7628872,1
100,1505.701878,33.67975352,13547.30399,239.5760761,1
200,1757,58.4,12060,239.7208799,1
150,1755.285714,45.56772487,13704.31746,241.1199554,1
175,1755.082569,52.04495413,12809.58716,242.9146779,1
125,1517.13151,40.284375,13182.80599,243.9705279,1
250,1757.861878,73.95138122,11600.18232,245.9838121,1
300,1999,91.1,13798,265.2126728,1
275,1755,82.5,11728,266.311681,1
125,1505,40,12982,272.4498989,1
300,1756.52057,89.35759494,11843.15823,285.9795532,1
225,1516.518941,66.38313441,11304.73638,295.7564777,1
175,1517.306991,51.74528875,12179.78419,296.0456032,1
150,1506.710526,45.16842105,12679.94737,310.2253114,1
275,1517.439628,80.61021672,10726.11662,310.9687925,1
225,1505.940887,66.73399015,11286.9803,320.8522894,1
250,1507,73.6,10863,322.470929,1
275,1506.221519,80.79240506,10681.71519,323.2866816,1
325,1756.347826,95.21337793,12392.74916,324.7204605,1
200,1505.848649,59.85297297,11708,324.8272,1
300,1506,88.14666667,10542.63333,325.1211695,1
325,1507.2746,95.58169336,10138.96568,328.2977585,1
175,1506,52.1,12223,328.943781,1
325,1505.864583,95.6453125,10142.15365,331.9216936,1
350,1507.42517,102.2503401,10117.17007,348.3104829,1
